model,split,MAE_DEF,MAE_OFF,R2_DEF,R2_OFF
DeepSets,test,5.9950,6.2030,0.2050,0.1370
DeepSets,train,5.1610,5.5500,0.3640,0.3510
DeepSets,val,5.9640,6.0310,0.1830,0.2230
GlobalMean,test,9.1600,9.7980,-0.5720,-0.8420
GlobalMean,train,6.7230,7.1480,0.0000,0.0000
GlobalMean,val,8.8970,9.2560,-0.6250,-0.5190
MeanPlayerRating,test,6.1040,6.0250,0.1460,0.2080
MeanPlayerRating,train,5.9790,5.8220,0.2110,0.3050
MeanPlayerRating,val,6.3870,6.1440,0.0990,0.2090
NeuralNet,test,6.0140,6.0130,0.2090,0.1960
NeuralNet,train,5.3770,5.2920,0.3300,0.3950
NeuralNet,val,6.1010,6.0290,0.1700,0.2440
Ridge,test,5.9560,6.0530,0.2190,0.1960
Ridge,train,5.5100,5.5820,0.3160,0.3570
Ridge,val,6.0990,6.0020,0.1710,0.2430
Ridge+SynFeats,test,5.9560,6.0530,0.2190,0.1960
Ridge+SynFeats,train,5.5100,5.5820,0.3160,0.3570
Ridge+SynFeats,val,6.0990,6.0020,0.1710,0.2430
SynergyNet,test,6.0100,6.1680,0.2000,0.1510
SynergyNet,train,5.1450,5.5510,0.3670,0.3510
SynergyNet,val,5.9600,6.0360,0.1890,0.2250
